

22,55862,0,549,0,0,255,0
22,55860,0,549,0,0,255,0
22,55499,0,549,0,0,255,0
22,55497,0,549,0,0,255,0
22,55076,0,549,0,0,255,0
22,55074,0,549,0,0,255,0
22,54353,0,549,0,0,255,0
22,54351,0,549,0,0,255,0
22,54349,0,549,0,0,255,0
22,54288,0,549,0,0,255,0
22,53627,0,549,0,0,255,0
22,53625,0,549,0,0,255,0
22,53623,0,549,0,0,255,0
22,53621,0,549,0,0,255,0
22,53619,0,549,0,0,255,0
22,53617,0,549,0,0,255,0
22,53556,0,549,0,0,255,0
22,53554,0,549,0,0,255,0
22,53552,0,549,0,0,255,0
1,53432,0,45,0,0,255,0
22,53432,0,45,0,0,255,0
0,53425,0,61,1,0,255,0
1,53421,0,72,0,0,255,0
22,53421,0,72,0,0,255,0
0,53416,0,89,1,0,255,0
1,53386,0,291,0,0,255,0
22,53386,0,290,0,0,255,0
0,53133,0,393,0,0,255,0
22,53125,0,549,0,0,255,0
24,52984,232,32,379,0,51,0
14,52944,230,32,364,0,49,0
24,52942,230,32,347,0,47,0
14,52902,232,32,373,0,50,0
0,52874,230,32,371,0,50,0
24,52789,232,32,361,0,48,0
14,52749,232,33,394,0,53,0
1,52747,228,29,336,0,50,0
14,52747,228,29,336,0,50,0
0,52746,228,29,335,0,50,0
24,52743,228,29,335,0,50,0
1,52703,228,29,326,0,49,0
14,52703,228,29,326,0,49,0
0,52691,224,29,320,0,49,0
14,52687,226,30,338,0,49,0
14,52685,230,30,328,0,47,0
1,52683,230,30,335,0,48,0
24,52683,230,30,335,0,48,0
0,52680,230,30,321,0,46,0
1,52678,228,30,318,0,46,0
24,52678,228,30,318,0,46,0
0,52676,228,30,324,0,47,0
24,52671,228,31,343,0,48,0
14,52631,226,30,315,0,46,0
24,52629,228,30,321,0,46,0
14,52589,226,29,338,0,51,0
22,52587,0,549,0,0,255,0
24,52585,228,30,324,0,47,0
14,52545,228,30,333,0,48,0
24,52543,226,29,343,0,52,0
1,52524,228,30,322,0,47,0
14,52524,228,30,322,0,47,0
0,52523,228,30,320,0,46,0
14,52503,228,31,343,0,48,0
14,52501,228,30,336,0,49,0
14,52499,226,30,333,0,49,0
14,52497,228,31,337,0,47,0
14,52495,228,31,338,0,47,0
14,52493,228,31,336,0,47,0
24,52491,230,30,331,0,47,0
14,52451,228,31,355,0,50,0
14,52449,226,29,331,0,50,0
14,52447,228,30,347,0,50,0
14,52445,230,31,338,0,47,0
14,52443,230,31,334,0,48,0
14,52441,226,30,343,0,50,0
22,52439,0,549,0,0,255,0
24,52437,238,0,4,0,255,0
24,52256,228,31,356,0,50,0
24,52195,230,31,358,0,50,0
22,51594,0,549,0,0,255,0
24,51533,230,32,324,0,44,0
24,51531,226,30,327,0,48,0
24,51529,228,30,322,0,47,0
24,51468,230,31,323,0,45,0
24,51347,228,31,335,0,47,0
24,51226,228,32,335,0,45,0
22,51224,0,549,0,0,255,0
24,51103,226,30,332,0,47,0
22,51101,0,549,1,0,255,0
24,50800,230,32,320,0,43,0
22,50798,0,549,5,0,255,0
22,50796,0,549,65535,0,255,0
24,50794,234,0,4,0,255,0
22,50792,0,549,0,0,255,0
24,50611,230,32,320,0,43,0
22,50609,0,549,69,0,255,0
24,50248,230,31,342,0,47,0
24,50246,228,31,324,0,45,0
24,50244,230,31,330,0,46,0
22,50242,0,549,104,0,255,0
24,50240,228,29,186,0,28,0
24,50238,228,28,187,0,29,0
22,50177,0,549,102,0,255,0
24,50175,228,30,166,0,24,0
24,50173,228,31,184,0,26,0
24,50112,230,32,164,0,22,0
1,50110,228,30,154,0,22,0
24,50110,228,30,154,0,22,0
0,49861,228,31,87,0,12,0
24,49857,228,30,87,0,12,0
24,49855,228,30,103,0,15,0
22,49853,0,549,108,0,255,0
24,49792,228,31,98,0,13,0
22,49790,0,549,109,0,255,0
24,49669,232,36,95,0,11,0
24,49548,202,30,558,0,92,0
24,48287,202,30,224,0,36,0
